Frame,Time,Right Biceps brachii caput longus,Left Biceps brachii caput longus,Right Pectoralis Major,Left Pectoralis Major
4742,4.742,10.4,-9.9,-3.8,-0.5
4743,4.743,16.1,-3.0,-9.7,-1.9
4744,4.744,0.5,3.3,-15.0,-8.0
4745,4.745,-1.5,2.6,-10.2,-1.9
4746,4.746,-3.3,-2.3,-4.0,-4.3
4747,4.747,-25.7,-6.7,-11.3,-0.8
4748,4.748,-22.6,-13.1,-8.4,-5.4
4749,4.749,-14.3,-10.3,-2.3,-1.3
4750,4.750,-11.7,-15.7,6.6,-0.9
4751,4.751,-9.4,-26.5,14.7,-2.3
4752,4.752,-7.2,-37.2,9.4,-5.4
4753,4.753,-5.3,-35.6,4.6,0.7
4754,4.754,-3.5,-36.7,-8.6,-0.3
4755,4.755,-2.0,-21.2,-10.5,-5.9
4756,4.756,-3.3,-10.6,-12.1,-3.8
4757,4.757,-4.6,-8.5,-4.3,2.2
4758,4.758,-3.4,-3.1,-5.7,-0.3
4759,4.759,-0.2,-4.4,0.9,-1.0
4760,4.760,-1.1,-8.3,11.5,-1.7
4761,4.761,-1.9,-19.8,4.5,3.7
4762,4.762,3.9,-11.7,-2.0,1.6
4763,4.763,1.8,-1.6,-17.3,4.9
4764,4.764,7.9,2.5,-19.3,9.0
4765,4.765,5.6,3.9,-13.6,0.9
4766,4.766,6.4,-1.2,-1.5,-2.5
4767,4.767,3.2,7.8,3.2,-1.4
4768,4.768,2.7,9.1,10.4,-2.4
4769,4.769,-5.4,6.2,1.4,2.1
4770,4.770,-13.5,5.4,0.3,2.9
4771,4.771,-20.9,6.4,1.4,-0.7
4772,4.772,-14.1,12.2,-7.2,1.3
4773,4.773,-0.8,7.3,-3.7,-6.4
4774,4.774,1.0,14.6,-2.6,-3.3
4775,4.775,6.2,11.8,-3.5,-6.1
4776,4.776,7.7,19.9,2.8,-7.0
4777,4.777,6.3,23.1,14.9,-7.7
4778,4.778,10.1,16.5,20.2,-5.5
4779,4.779,13.6,8.6,15.6,3.1
4780,4.780,16.8,3.4,19.9,4.2
4781,4.781,2.3,-7.2,16.1,7.4
4782,4.782,-3.9,2.7,15.1,8.4
4783,4.783,13.3,6.6,12.1,9.3
4784,4.784,20.2,7.8,-0.4,13.3
4785,4.785,14.0,4.7,4.8,11.2
4786,4.786,4.6,3.7,3.4,1.4
4787,4.787,-6.3,-1.2,12.4,4.0
4788,4.788,-8.0,-0.3,13.9,8.2
4789,4.789,-6.4,5.4,10.2,7.0
4790,4.790,-13.5,3.2,13.7,10.5
4791,4.791,-22.6,6.6,14.9,5.3
4792,4.792,-28.5,6.0,10.2,8.3
4793,4.793,-29.6,4.5,0.6,0.4
4794,4.794,-24.8,1.0,-0.6,1.5
4795,4.795,-13.4,-1.1,0.7,0.6
4796,4.796,-8.8,-5.6,3.9,1.5
4797,4.797,-4.7,-5.1,-2.7,-2.4
4798,4.798,-3.5,-12.2,-7.0,-10.4
4799,4.799,-0.1,-9.3,-10.9,-9.3
4800,4.800,7.2,-12.0,-15.8,-6.3
4801,4.801,6.1,-11.3,-17.7,-7.1
4802,4.802,7.0,-7.7,-8.6,-6.3
4803,4.803,14.1,-9.7,-9.7,3.3
4804,4.804,20.8,-4.3,-3.8,-0.5
4805,4.805,18.1,-8.0,-6.8,-8.6
4806,4.806,10.9,-15.2,-9.6,-1.2
4807,4.807,0.1,-18.1,-8.6,-2.1
4808,4.808,-4.1,-13.7,-6.1,2.4
4809,4.809,-23.7,-11.3,-5.3,-1.5
4810,4.810,-26.4,-12.0,-3.3,-3.6
4811,4.811,-13.9,-6.1,-6.2,6.4
4812,4.812,-2.5,-3.8,-2.4,7.8
4813,4.813,-4.6,-3.2,-9.8,-1.1
4814,4.814,0.9,-3.9,-6.7,-2.2
4815,4.815,6.0,3.8,-5.7,-5.2
4816,4.816,7.4,9.0,-11.8,5.5
4817,4.817,11.6,8.0,-4.6,-4.3
4818,4.818,18.0,5.2,-3.6,-2.9
4819,4.819,21.4,10.7,-4.5,-6.3
4820,4.820,26.7,1.1,-6.9,-9.4
4821,4.821,27.6,4.8,-0.3,-6.4
4822,4.822,30.1,5.7,0.6,-1.9
4823,4.823,32.5,0.3,-8.3,3.7
4824,4.824,33.2,1.0,-5.0,-1.2
4825,4.825,24.6,-3.6,4.6,-1.8
4826,4.826,6.9,-3.0,0.7,-1.2
4827,4.827,-15.9,-3.9,4.0,5.9
4828,4.828,-37.3,1.8,-1.3,6.9
4829,4.829,-45.6,2.4,-2.4,9.6
4830,4.830,-53.2,-0.0,5.5,7.3
4831,4.831,-32.5,-7.5,10.7,0.8
4832,4.832,-24.3,-1.0,1.8,7.0
4833,4.833,-16.8,3.2,-11.3,1.5
4834,4.834,-5.4,-1.1,-2.8,-9.4
4835,4.835,0.9,-6.4,-1.4,-14.0
4836,4.836,6.4,-5.9,-2.9,-6.9
4837,4.837,4.7,-12.8,0.8,-5.6
4838,4.838,3.1,-15.7,6.5,-2.1
4839,4.839,7.2,-7.1,7.3,-1.0
4840,4.840,5.8,-3.8,0.4,5.8
4841,4.841,2.3,1.2,2.8,3.1
4842,4.842,3.3,3.9,1.8,0.7
4843,4.843,4.2,-0.7,-5.0,1.4
4844,4.844,3.3,9.5,2.7,2.0
4845,4.845,7.3,16.4,-2.9,1.4
4846,4.846,6.6,9.8,1.7,0.8
4847,4.847,3.3,13.1,11.2,4.2
4848,4.848,5.1,7.6,9.6,8.2
4849,4.849,5.6,2.6,10.5,9.6
4850,4.850,3.1,-1.9,7.1,7.1
4851,4.851,-0.9,-4.5,-1.9,3.0
4852,4.852,0.6,-3.9,-5.5,4.4
4853,4.853,-3.8,-10.0,-2.6,-3.1
4854,4.854,-0.8,-6.2,-3.8,-2.1
4855,4.855,-2.3,-4.2,-17.2,2.7
4856,4.856,2.2,-4.9,-11.8,-5.3
4857,4.857,5.2,-5.6,0.1,-6.4
4858,4.858,6.7,2.4,-7.8,-3.6
4859,4.859,6.2,10.6,-3.8,-2.7
4860,4.860,7.4,15.8,-5.2,-8.4
4861,4.861,7.8,14.9,-8.8,-7.8
4862,4.862,8.0,12.2,4.9,-9.8
4863,4.863,4.3,13.0,10.4,-2.0
4864,4.864,-3.2,13.8,8.6,3.2
4865,4.865,-8.5,10.5,7.0,2.2
4866,4.866,-19.2,11.2,2.7,1.2
4867,4.867,-15.0,8.6,3.8,-1.3
4868,4.868,-3.1,11.1,2.6,-6.5
4869,4.869,-1.5,7.2,-2.8,2.0
4870,4.870,2.8,3.6,7.7,-4.0
4871,4.871,-6.1,3.2,11.8,-7.3
4872,4.872,-11.9,7.3,20.7,-8.4
4873,4.873,-12.8,1.4,10.0,-0.6
4874,4.874,-11.8,2.4,5.7,4.5
4875,4.875,-7.3,4.7,-3.5,1.4
4876,4.876,-1.6,2.9,-4.7,-5.0
4877,4.877,7.9,4.8,-1.7,-7.6
4878,4.878,9.2,3.5,1.1,-7.2
4879,4.879,10.3,2.2,0.1,-8.1
4880,4.880,9.3,0.3,-4.0,-2.9
4881,4.881,8.3,-4.8,-10.7,3.4
4882,4.882,9.3,-11.2,-11.7,-3.1
4883,4.883,14.9,-6.6,-3.0,-15.5
4884,4.884,14.2,-10.4,-13.7,-3.8
4885,4.885,12.4,-3.6,-6.8,-8.9
4886,4.886,5.9,-0.7,-3.1,-13.5
4887,4.887,1.6,-4.5,4.9,0.3
4888,4.888,-4.7,-1.9,8.9,11.3
4889,4.889,-2.2,-0.9,11.8,8.9
4890,4.890,-2.9,3.9,12.6,13.4
4891,4.891,1.8,-4.8,20.4,17.5
4892,4.892,-4.8,-24.1,8.5,12.8
4893,4.893,-2.1,-21.1,9.9,8.3
4894,4.894,0.3,-18.3,8.4,8.9
4895,4.895,-0.4,-11.2,4.4,-3.3
4896,4.896,0.2,-0.5,0.8,-2.3
4897,4.897,-0.4,5.3,-4.6,-1.5
4898,4.898,0.1,10.7,-7.6,-3.3
4899,4.899,0.5,21.9,-8.5,-7.2
4900,4.900,-0.8,23.5,-15.7,-10.7
4901,4.901,-2.1,25.0,-12.8,-21.6
4902,4.902,-3.2,21.7,-18.9,-23.2
4903,4.903,-3.5,20.9,-13.2,-19.5
4904,4.904,-0.3,16.2,-13.8,-11.4
4905,4.905,1.0,3.2,-16.9,-12.5
4906,4.906,5.4,-6.1,-12.6,-17.2
4907,4.907,9.6,-11.1,-16.1,-14.4
4908,4.908,16.7,-15.5,-13.3,-10.2
4909,4.909,13.9,-25.2,-10.9,-12.1
4910,4.910,18.4,-16.0,-6.9,-11.0
4911,4.911,17.6,-10.0,-5.1,-7.5
4912,4.912,12.6,-4.6,1.0,-10.6
4913,4.913,2.7,-3.5,7.1,-4.4
4914,4.914,-15.8,-4.2,8.3,-1.4
4915,4.915,-28.2,-1.7,10.7,5.4
4916,4.916,-62.6,3.4,10.7,8.9
4917,4.917,-67.4,4.1,9.7,10.7
4918,4.918,-35.8,-2.4,17.7,13.7
4919,4.919,-31.5,2.0,23.6,23.8
4920,4.920,-20.2,-0.3,15.5,36.8
4921,4.921,-23.3,-1.0,17.4,33.4
4922,4.922,-14.0,-7.0,21.2,33.3
4923,4.923,5.6,-7.8,21.0,33.4
4924,4.924,8.3,-11.4,19.1,38.2
4925,4.925,6.1,-10.8,22.3,44.9
4926,4.926,12.4,-13.8,12.1,49.2
4927,4.927,33.3,-17.5,14.4,44.4
4928,4.928,36.0,-17.0,13.9,40.2
4929,4.929,18.3,-11.3,13.3,38.0
4930,4.930,6.7,-4.1,22.3,37.5
4931,4.931,21.3,0.6,26.2,47.8
4932,4.932,15.6,-2.1,31.8,68.8
4933,4.933,7.1,0.2,40.5,78.4
4934,4.934,5.7,-0.5,50.9,92.4
4935,4.935,4.4,0.0,40.0,105.1
4936,4.936,-4.6,-4.2,42.2,108.5
4937,4.937,-3.4,-5.8,44.3,104.1
4938,4.938,12.5,1.6,43.6,106.9
4939,4.939,19.3,4.7,33.7,93.9
4940,4.940,21.4,3.6,18.6,74.1
4941,4.941,19.5,2.7,8.7,49.9
4942,4.942,21.0,9.8,7.3,27.2
4943,4.943,28.7,0.9,23.4,24.9
4944,4.944,29.9,-0.3,9.1,22.8
4945,4.945,31.1,4.9,-15.3,15.9
4946,4.946,29.7,3.8,-11.6,-4.4
4947,4.947,22.1,9.9,-26.8,-29.1
4948,4.948,11.2,5.8,-34.9,-52.4
4949,4.949,6.8,3.6,-52.5,-67.6
4950,4.950,7.9,4.2,-59.4,-92.7
4951,4.951,-7.7,2.3,-61.5,-116.3
4952,4.952,-9.9,8.2,-48.4,-119.5
4953,4.953,-27.2,2.4,-53.7,-122.5
4954,4.954,-20.5,4.5,-52.4,-135.5
4955,4.955,-27.0,2.5,-39.9,-133.6
4956,4.956,-40.4,4.1,-45.4,-123.7
4957,4.957,-63.0,-0.9,-38.0,-137.7
4958,4.958,-47.8,5.0,-17.1,-150.5
4959,4.959,-22.8,4.0,-32.9,-155.9
4960,4.960,-12.8,1.8,-52.9,-138.3
4961,4.961,-9.9,6.2,-51.0,-151.9
4962,4.962,-40.7,9.1,-53.9,-169.1
4963,4.963,-61.3,6.4,-65.0,-159.8
4964,4.964,-65.1,5.9,-48.6,-147.8
4965,4.965,-41.7,1.8,-14.8,-130.1
4966,4.966,-51.0,-0.9,-30.4,-93.5
4967,4.967,-59.4,-2.3,-53.7,-67.7
4968,4.968,-57.1,1.7,-58.7,-64.3
4969,4.969,-41.1,3.2,-70.6,-43.3
4970,4.970,-22.3,-0.3,-61.4,-40.8
4971,4.971,5.5,-0.7,-40.9,-38.8
4972,4.972,31.4,-1.8,-28.0,-16.9
4973,4.973,48.3,-0.1,-26.4,9.1
4974,4.974,69.7,0.9,-15.9,25.9
4975,4.975,89.2,0.2,-10.6,34.2
4976,4.976,91.7,-3.4,-9.7,35.5
4977,4.977,89.6,-1.8,1.4,41.9
4978,4.978,95.9,4.0,8.2,47.7
4979,4.979,67.5,-1.5,0.2,48.1
4980,4.980,14.3,-0.6,0.6,48.4
4981,4.981,-51.0,-2.4,5.5,37.1
4982,4.982,-59.7,-11.3,11.9,54.3
4983,4.983,-51.7,-7.3,13.9,65.1
4984,4.984,-29.9,-6.0,20.9,65.6
4985,4.985,-10.1,-0.6,36.0,70.2
4986,4.986,7.8,-3.3,46.7,74.1
4987,4.987,13.4,-2.3,35.3,88.1
4988,4.988,28.2,1.8,55.4,84.4
4989,4.989,33.7,3.5,53.4,87.6
4990,4.990,38.3,14.6,49.9,95.5
4991,4.991,42.5,16.3,56.7,92.4
4992,4.992,38.9,15.0,53.7,98.7
4993,4.993,55.9,8.7,63.4,101.5
4994,4.994,65.2,5.4,57.2,101.5
4995,4.995,57.1,2.4,51.5,84.9
4996,4.996,39.5,-0.4,65.2,73.4
4997,4.997,14.4,-4.7,78.0,70.5
4998,4.998,4.3,1.1,72.5,92.1
4999,4.999,1.3,7.8,73.7,82.1
5000,5.000,-23.7,7.0,52.0,67.6
5001,5.001,-33.8,9.4,48.8,59.5
5002,5.002,-30.7,0.0,45.9,56.7
5003,5.003,-22.3,-3.8,38.2,50.1
5004,5.004,-14.7,2.1,45.0,44.3
5005,5.005,-26.1,-3.2,38.8,49.4
5006,5.006,-32.3,-2.2,25.6,38.5
5007,5.007,-26.6,3.9,20.7,28.8
5008,5.008,-31.7,4.7,13.1,20.0
5009,5.009,-33.1,8.2,12.0,5.1
5010,5.010,-14.4,6.2,16.2,-0.7
5011,5.011,-16.7,-0.4,-1.1,1.9
5012,5.012,-14.2,-6.7,-13.3,-9.4
5013,5.013,-20.3,-14.1,-6.0,-16.4
5014,5.014,-10.6,-7.5,-7.7,-25.3
5015,5.015,-8.7,-8.5,-1.5,-20.4
5016,5.016,2.4,-7.8,-13.0,-27.4
5017,5.017,3.9,-8.7,-35.9,-29.3
5018,5.018,-10.2,-12.2,-25.2,-36.7
5019,5.019,-19.5,-10.7,-33.7,-31.9
5020,5.020,-14.1,-8.2,-35.8,-33.6
5021,5.021,-9.3,-6.0,-37.7,-44.8
5022,5.022,-10.4,-11.1,-39.2,-48.5
5023,5.023,-24.4,-16.0,-53.2,-36.1
5024,5.024,-26.0,-18.0,-58.1,-50.3
5025,5.025,-20.6,-18.8,-52.2,-50.9
5026,5.026,-9.5,-19.6,-37.3,-43.9
5027,5.027,-2.3,-20.4,-31.0,-37.3
5028,5.028,4.4,-15.4,-35.4,-40.5
5029,5.029,1.0,-10.7,-14.4,-43.2
5030,5.030,4.2,-10.4,-11.0,-27.6
5031,5.031,10.9,-7.8,-7.9,-20.7
5032,5.032,15.3,-2.2,-23.3,-21.1
5033,5.033,11.2,-1.8,-16.4,-21.4
5034,5.034,17.7,-4.3,-10.2,-21.5
5035,5.035,13.2,-0.2,5.9,-16.5
5036,5.036,10.7,-3.5,0.2,-11.9
5037,5.037,5.6,-6.6,6.3,-16.2
5038,5.038,10.2,-5.5,-5.2,-16.1
5039,5.039,4.7,-1.0,-3.3,-16.1
5040,5.040,-6.3,-2.0,-1.5,-4.7
5041,5.041,-14.1,-1.9,-2.4,-11.0
5042,5.042,-10.1,-0.7,-17.5,-6.4
5043,5.043,-6.4,-3.6,-23.5,-9.2
5044,5.044,1.7,-5.2,-51.8,-16.0
5045,5.045,8.9,0.5,-39.3,-24.2
5046,5.046,19.4,-0.8,-13.3,-24.9
5047,5.047,26.3,1.3,-23.3,-17.1
5048,5.048,30.0,11.9,-1.9,-31.3
5049,5.049,21.7,13.1,6.4,-20.6
5050,5.050,16.2,11.4,3.9,-3.3
5051,5.051,19.0,15.0,1.5,-0.9
5052,5.052,16.2,13.6,-4.9,1.3
5053,5.053,4.0,10.2,23.5,-0.5
5054,5.054,9.1,9.0,11.0,8.1
5055,5.055,7.4,15.0,7.0,3.4
5056,5.056,14.4,20.5,-3.3,-0.9
5057,5.057,-5.2,18.1,-0.5,0.3
5058,5.058,-41.6,17.4,7.5,6.0
5059,5.059,-26.9,17.8,14.7,-1.5
5060,5.060,-31.5,14.0,3.0,7.1
5061,5.061,-11.1,12.5,-3.5,5.7
5062,5.062,-14.8,5.8,1.8,-1.9
5063,5.063,-4.7,1.0,6.6,12.4
5064,5.064,4.4,0.1,17.3,5.9
5065,5.065,7.2,2.6,4.2,-0.0
5066,5.066,4.8,3.4,9.0,1.4
5067,5.067,7.2,1.5,16.6,2.7
5068,5.068,13.6,4.6,20.5,12.3
5069,5.069,-7.2,9.6,16.3,15.8
5070,5.070,-21.0,6.5,19.5,19.0
5071,5.071,-8.3,9.6,16.2,24.0
5072,5.072,-1.4,18.0,5.3,28.5
5073,5.073,0.8,19.3,-13.5,27.3
5074,5.074,-0.9,16.4,-6.2,15.0
5075,5.075,0.9,7.9,14.4,-11.2
5076,5.076,-0.6,9.4,22.5,-0.4
5077,5.077,-1.8,10.7,14.8,9.5
5078,5.078,2.2,10.1,7.8,12.3
5079,5.079,1.2,-1.0,9.8,3.8
5080,5.080,10.9,-5.2,0.3,1.1
5081,5.081,9.7,2.2,2.0,-1.3
5082,5.082,10.9,6.5,0.4,-3.6
5083,5.083,10.0,12.8,-9.5,-13.2
5084,5.084,13.0,5.9,-10.7,-11.7
5085,5.085,10.4,-0.4,-14.1,-10.3
5086,5.086,11.2,4.5,-15.0,-0.6
5087,5.087,17.9,5.8,-0.4,-4.5
5088,5.088,18.8,5.5,-2.4,-5.7
5089,5.089,19.7,5.4,-7.9,8.1
5090,5.090,19.2,-0.0,10.3,-0.6
5091,5.091,15.7,-1.3,8.8,5.0
5092,5.092,17.6,-4.5,19.9,10.1
5093,5.093,13.5,-7.5,4.4,11.6
5094,5.094,5.4,-8.3,6.7,4.5
5095,5.095,-12.2,-6.7,16.3,3.1
5096,5.096,-19.7,-7.3,14.8,20.7
5097,5.097,-26.5,-8.5,0.9,18.2
5098,5.098,-49.5,-6.1,-4.5,-2.6
5099,5.099,-46.5,-9.3,0.9,-10.9
5100,5.100,-21.4,-14.4,9.0,-8.4
5101,5.101,-11.3,-16.2,16.3,-1.5
5102,5.102,-8.3,-20.4,10.0,4.7
5103,5.103,-0.1,-20.7,11.4,-0.9
5104,5.104,2.4,-16.6,-0.1,0.8
5105,5.105,9.1,-12.9,-4.5,-3.8
5106,5.106,7.0,-13.0,-11.2,-13.6
5107,5.107,8.9,-9.1,-17.4,-14.9
5108,5.108,10.6,-8.4,-18.3,-18.3
5109,5.109,18.5,-8.5,-12.7,-12.9
5110,5.110,8.7,-10.3,-5.7,-11.9
5111,5.111,2.3,-8.4,-11.6,-7.4
5112,5.112,-8.2,-5.9,-23.3,-0.1
5113,5.113,-23.9,-7.3,-14.4,-4.9
5114,5.114,-46.9,-9.7,-9.5,-7.4
5115,5.115,-49.9,-4.6,0.6,-8.2
5116,5.116,-24.8,2.1,7.4,2.8
5117,5.117,-1.2,1.2,11.1,13.8
5118,5.118,-10.5,0.4,4.0,9.7
5119,5.119,-13.3,2.6,1.3,8.5
5120,5.120,-6.0,1.9,9.5,14.4
5121,5.121,9.9,-2.3,15.0,13.4
5122,5.122,16.0,1.3,16.2,6.8
5123,5.123,6.3,-6.2,10.2,11.3
5124,5.124,11.2,-16.0,19.2,7.3
5125,5.125,9.3,-9.6,20.5,6.7
5126,5.126,18.9,-8.6,4.7,16.6
5127,5.127,14.8,-7.7,-6.6,6.8
5128,5.128,17.9,-5.0,4.0,-2.1
5129,5.129,22.9,-6.1,-5.3,-0.9
5130,5.130,11.9,-2.3,-6.9,6.5
5131,5.131,15.8,-4.8,-2.1,9.5
5132,5.132,16.9,-3.1,-17.6,15.8
5133,5.133,20.1,0.9,-23.8,3.9
5134,5.134,14.6,-3.1,-21.8,-22.0
5135,5.135,-0.1,-5.8,-20.1,-18.2
5136,5.136,-14.9,-8.3,-12.2,-7.9
5137,5.137,-28.3,-7.4,-22.0,-10.9
5138,5.138,-20.0,-2.2,-12.8,-13.4
5139,5.139,-12.5,-0.1,-4.6,-10.8
5140,5.140,-2.9,1.7,-1.4,-12.9
5141,5.141,8.4,7.4,-12.0,-6.5
5142,5.142,6.5,9.5,-4.9,-0.7
5143,5.143,4.8,14.2,1.7,1.2
5144,5.144,8.3,9.3,19.4,12.3
5145,5.145,-0.3,13.2,6.8,25.3
5146,5.146,4.7,10.2,-13.9,27.1
5147,5.147,3.5,8.5,-16.7,16.4
5148,5.148,7.7,9.5,11.2,-4.8
5149,5.149,5.1,11.2,22.3,-1.6
5150,5.150,4.3,8.4,25.7,6.9
5151,5.151,3.6,3.1,16.5,4.6
5152,5.152,-5.4,2.1,13.8,11.6
5153,5.153,-6.7,3.8,1.1,9.7
5154,5.154,-22.0,0.6,-19.6,4.2
5155,5.155,-53.4,1.9,-22.4,2.7
5156,5.156,-94.0,0.2,-4.8,-8.0
5157,5.157,-88.7,-4.0,2.0,-9.2
5158,5.158,-64.1,-6.9,-0.1,-5.1
5159,5.159,-50.7,-1.6,9.3,-1.5
5160,5.160,-22.2,3.3,-9.7,-2.2
5161,5.161,-3.9,3.8,-22.4,-4.9
5162,5.162,5.9,6.7,-1.7,-9.0
5163,5.163,33.3,-0.5,17.7,-4.8
5164,5.164,29.3,0.4,5.0,6.4
5165,5.165,32.4,10.0,7.2,11.3
5166,5.166,72.1,6.0,-3.3,7.3
5167,5.167,66.5,0.1,6.2,-4.2
5168,5.168,61.5,-1.0,18.1,10.1
5169,5.169,56.8,1.8,3.9,15.9
5170,5.170,60.7,0.8,2.0,7.5
5171,5.171,49.4,8.0,0.2,-0.2
5172,5.172,52.7,10.8,-4.6,-4.3
5173,5.173,61.7,8.2,11.0,-2.9
5174,5.174,47.8,-3.9,4.7,-6.3
5175,5.175,30.0,-2.2,2.7,-5.1
5176,5.176,23.1,-0.7,4.3,-5.9
5177,5.177,16.7,3.4,-6.7,-3.2
5178,5.178,-0.5,4.7,-5.5,-5.6
5179,5.179,-30.5,8.2,-1.8,-1.9
5180,5.180,-51.1,3.0,1.6,-6.4
5181,5.181,-62.2,-3.7,6.8,2.6
5182,5.182,-58.9,-1.0,1.8,1.3
5183,5.183,-55.9,-3.3,2.6,2.5
5184,5.184,-47.7,-2.5,-4.8,-0.7
5185,5.185,-40.2,3.5,-3.9,-5.5
5186,5.186,-19.5,7.6,-8.4,-8.2
5187,5.187,5.6,8.4,3.5,-17.0
5188,5.188,36.0,5.2,12.0,-1.6
5189,5.189,56.5,-0.0,7.2,0.4
5190,5.190,45.5,-10.8,8.6,-1.4
5191,5.191,36.3,-10.8,6.7,-0.6
5192,5.192,6.0,-2.9,-2.4,-5.7
5193,5.193,-14.4,1.4,-10.7,-1.1
5194,5.194,-25.4,5.4,5.3,-2.5
5195,5.195,-42.2,2.1,12.0,-1.3
5196,5.196,-69.9,1.1,-15.2,4.5
5197,5.197,-110.7,2.2,-19.0,-5.2
5198,5.198,-105.2,-2.0,-8.9,-9.2
5199,5.199,-90.4,-9.1,-18.1,-5.9
5200,5.200,-58.8,-8.0,-4.2,-2.9
5201,5.201,-54.7,-1.7,3.2,-0.2
5202,5.202,-50.8,-2.3,9.9,4.1
5203,5.203,-13.4,1.4,16.1,1.5
5204,5.204,31.4,4.8,-4.9,-0.9
5205,5.205,49.5,4.4,-19.0,-3.0
5206,5.206,66.1,1.9,-21.6,-12.3
5207,5.207,71.2,-0.5,-19.5,-24.2
5208,5.208,85.0,-2.5,-13.4,-32.3
5209,5.209,105.7,-8.5,-7.8,-25.5
5210,5.210,102.4,-21.6,0.6,-14.1
5211,5.211,85.9,-15.9,2.1,-6.6
5212,5.212,71.0,-3.8,17.6,-5.5
5213,5.213,46.3,4.2,7.1,3.3
5214,5.214,16.4,8.5,12.6,4.2
5215,5.215,4.6,7.3,21.1,13.5
5216,5.216,1.4,4.0,16.4,25.0
5217,5.217,18.7,5.2,12.1,32.5
5218,5.218,22.1,4.3,15.9,30.8
5219,5.219,3.1,8.9,16.9,26.6
5220,5.220,-14.2,6.6,13.6,39.3
5221,5.221,-20.7,1.7,-1.0,23.4
5222,5.222,-30.9,3.7,-11.6,0.0
5223,5.223,-17.3,0.9,-9.9,-15.6
5224,5.224,-5.0,2.5,-1.4,-13.2
5225,5.225,-3.1,2.2,12.6,-6.0
5226,5.226,-7.0,0.1,10.6,9.8
5227,5.227,-13.3,-1.8,-5.1,11.5
5228,5.228,-14.2,-4.9,-7.3,-2.0
5229,5.229,-6.6,-6.1,-9.3,-0.6
5230,5.230,-13.1,-6.4,-0.8,0.6
5231,5.231,-15.6,-4.5,3.8,-9.6
5232,5.232,-22.6,-4.1,5.0,-8.6
5233,5.233,-21.4,-1.3,-14.7,-0.7
5234,5.234,-16.7,2.7,-12.1,-17.0
5235,5.235,-14.1,2.3,5.4,-33.3
5236,5.236,-11.6,2.9,12.1,-10.6
5237,5.237,-13.2,-0.1,-15.2,-1.7
5238,5.238,-11.2,-3.7,-33.9,-15.9
5239,5.239,-14.6,-6.1,-30.6,-3.5
5240,5.240,-11.8,-2.1,-9.2,-10.6
5241,5.241,-4.9,-2.5,4.6,-17.1
5242,5.242,6.1,4.0,7.0,-0.2
5243,5.243,16.1,6.7,-9.2,20.3
5244,5.244,33.2,4.3,-11.4,11.8
5245,5.245,40.2,2.2,-5.8,4.1
5246,5.246,38.2,-7.7,-0.8,1.7
5247,5.247,28.8,-11.9,-5.5,-0.6
5248,5.248,9.9,-5.3,4.3,8.7
5249,5.249,-2.6,-1.8,23.8,10.2
5250,5.250,-37.0,1.3,32.0,5.4
5251,5.251,-61.6,2.3,29.5,12.4
5252,5.252,-39.0,3.2,17.9,16.1
5253,5.253,-34.7,-5.7,11.7,10.1
5254,5.254,-23.5,2.5,9.8,11.1
5255,5.255,-33.5,3.6,14.9,13.9
5256,5.256,-36.4,2.6,4.0,23.5
5257,5.257,-5.6,12.3,-5.9,16.9
5258,5.258,-9.6,11.0,-9.8,3.9
5259,5.259,-20.7,12.1,-13.2,-1.3
5260,5.260,-24.0,2.4,2.8,-12.3
5261,5.261,-27.1,-4.1,-13.2,3.3
5262,5.262,-18.8,-12.3,-6.9,1.1
5263,5.263,-26.4,-5.0,-20.2,-4.5
5264,5.264,-5.8,-4.0,-21.8,-2.9
5265,5.265,13.4,-5.0,1.8,-7.5
5266,5.266,25.8,-2.6,18.7,2.3
5267,5.267,27.8,-10.7,15.7,1.1
5268,5.268,29.7,-11.8,7.5,2.2
5269,5.269,27.6,-12.8,10.0,3.2
5270,5.270,25.6,-10.2,7.8,0.3
5271,5.271,14.4,-1.5,-6.8,-5.8
5272,5.272,7.0,-5.0,2.8,-1.8
5273,5.273,3.0,-12.5,4.5,-8.4
5274,5.274,-7.7,-5.8,-0.1,-4.1
5275,5.275,2.0,3.8,7.0,1.5
5276,5.276,16.2,5.1,-4.7,2.3
5277,5.277,14.2,-3.1,-3.0,0.4
5278,5.278,8.8,2.1,1.2,-6.1
5279,5.279,7.1,6.9,2.6,-3.4
5280,5.280,-2.9,4.2,20.4,8.7
5281,5.281,-4.4,8.1,23.0,10.5
5282,5.282,-3.4,10.2,25.3,12.1
5283,5.283,-4.6,10.7,19.2,13.5
5284,5.284,-5.8,8.8,-1.6,17.5
5285,5.285,2.1,0.6,-32.2,-0.1
5286,5.286,9.3,-10.2,-11.7,-12.7
5287,5.287,17.9,-11.7,-7.8,-14.8
5288,5.288,11.9,-2.7,-17.9,8.3
5289,5.289,4.3,5.3,-2.4,-6.9
5290,5.290,3.2,8.3,-5.0,-4.1
5291,5.291,3.9,9.2,-2.4,-1.5
5292,5.292,5.3,10.2,-10.7,-4.8
5293,5.293,7.6,12.8,-8.3,-20.7
5294,5.294,9.6,10.3,6.4,-22.7
5295,5.295,8.9,5.2,-6.7,-5.4
5296,5.296,3.4,-4.7,-11.8,-3.1
5297,5.297,-0.3,-14.6,-10.2,3.3
5298,5.298,5.5,-10.7,11.3,-2.2
