Frame,Time,Right Biceps brachii caput longus,Left Biceps brachii caput longus,Right Pectoralis Major,Left Pectoralis Major
131,0.131,50.8,0.7,4.1,-3.2
132,0.132,39.1,5.7,1.3,1.1
133,0.133,15.9,10.2,-1.2,-2.9
134,0.134,0.4,11.4,-3.5,0.6
135,0.135,-2.4,12.6,-1.4,-2.7
136,0.136,-4.9,15.9,8.0,1.4
137,0.137,-7.3,23.1,6.2,0.9
138,0.138,-5.3,20.0,1.5,8.3
139,0.139,-22.3,22.5,5.6,0.8
140,0.140,-33.7,15.2,-0.9,-5.9
141,0.141,-15.5,17.5,0.2,0.3
142,0.142,-5.1,22.1,3.6,6.4
143,0.143,-7.0,22.9,0.5,8.7
144,0.144,-5.4,15.6,-2.4,0.7
145,0.145,2.2,12.7,0.2,-0.4
146,0.146,6.3,11.8,2.6,2.5
147,0.147,4.9,12.6,-2.4,3.3
148,0.148,1.3,8.9,-1.8,2.5
149,0.149,0.2,7.1,-1.2,1.8
150,0.150,-10.4,5.4,6.9,-1.5
151,0.151,-17.4,5.0,10.4,-2.0
152,0.152,-10.9,-2.4,0.8,5.1
153,0.153,-0.3,-3.3,-5.6,6.0
154,0.154,9.5,-4.1,12.0,3.4
155,0.155,18.5,-3.0,9.6,7.4
156,0.156,7.8,-14.9,2.8,6.7
157,0.157,-7.8,-23.2,9.1,6.1
158,0.158,-14.1,-27.6,7.3,9.1
159,0.159,-4.6,-31.5,5.7,6.5
160,0.160,10.9,-27.3,1.1,2.1
161,0.161,12.9,-21.2,-0.2,2.7
162,0.162,18.4,-11.3,1.2,2.3
163,0.163,13.2,-9.8,-16.3,1.8
164,0.164,11.6,-13.0,1.4,-4.7
165,0.165,7.4,-7.6,-0.7,-3.7
166,0.166,-12.1,3.3,9.8,-2.7
167,0.167,-31.4,10.4,-3.4,-5.0
168,0.168,-23.8,22.3,-11.8,-1.3
169,0.169,-44.3,42.7,-13.2,-4.5
170,0.170,-52.3,40.0,5.4,-6.1
171,0.171,-59.6,37.6,3.0,-6.5
172,0.172,-38.7,44.5,0.9,-1.9
173,0.173,-8.0,34.2,-1.1,-1.3
174,0.174,-3.8,32.4,-2.8,2.5
175,0.175,-0.1,23.9,2.4,-2.8
176,0.176,16.7,10.0,0.9,2.3
177,0.177,38.0,-10.7,-3.2,4.3
178,0.178,62.9,-18.7,3.4,2.6
179,0.179,59.3,-15.9,0.1,3.2
180,0.180,43.9,-17.9,-5.2,6.7
181,0.181,35.5,-15.7,-6.0,2.8
182,0.182,17.9,-21.1,-1.5,3.3
183,0.183,20.1,-19.3,5.8,-0.0
184,0.184,18.0,-17.6,-6.7,6.7
185,0.185,16.1,-18.9,5.4,9.7
186,0.186,17.7,-14.9,3.9,3.6
187,0.187,6.7,-11.4,-3.1,-0.3
188,0.188,-3.2,-10.3,-12.0,-1.0
189,0.189,5.8,-15.1,-6.1,9.0
190,0.190,6.8,-14.2,10.0,2.1
191,0.191,5.8,-13.5,3.2,-14.8
192,0.192,6.7,-11.4,1.2,-7.9
193,0.193,9.4,-8.1,3.1,-1.5
194,0.194,7.0,-5.2,-5.5,-7.1
195,0.195,-3.9,-5.8,-7.0,-1.9
196,0.196,-17.9,-6.4,5.9,-3.3
197,0.197,-15.9,-6.9,-2.7,-4.6
198,0.198,-24.4,-4.2,-10.4,-3.3
199,0.199,-29.0,-9.8,-6.2,-11.4
200,0.200,-33.1,-15.5,-7.5,-10.3
201,0.201,-39.6,-7.6,-1.6,-13.2
202,0.202,-21.9,-4.6,1.5,0.1
203,0.203,-4.2,-3.8,-7.2,-9.3
204,0.204,7.3,-3.0,-8.3,2.7
205,0.205,9.4,0.9,-1.0,-1.9
206,0.206,-0.1,7.3,-0.0,-14.7
207,0.207,-12.1,2.8,-0.9,-6.1
208,0.208,-7.5,3.4,3.1,-1.5
209,0.209,-3.3,2.5,5.2,5.6
210,0.210,0.5,-2.2,4.5,14.7
211,0.211,-2.9,-0.6,1.5,6.5
212,0.212,0.3,0.8,2.9,-0.9
213,0.213,-0.7,2.0,-0.6,5.8
214,0.214,3.7,5.9,6.0,1.3
215,0.215,3.0,3.0,6.9,2.1
216,0.216,2.3,-2.6,5.9,7.1
217,0.217,-1.0,-9.4,0.2,1.1
218,0.218,-10.0,-14.0,-0.5,5.1
219,0.219,-13.8,-15.0,0.0,10.1
220,0.220,-5.7,-17.3,2.9,6.8
221,0.221,-0.4,-16.9,-3.1,1.4
222,0.222,-1.4,-8.0,2.5,0.6
223,0.223,-0.5,-6.9,9.0,1.2
224,0.224,8.4,-1.3,2.7,6.6
225,0.225,5.0,6.0,1.8,4.3
226,0.226,6.2,12.5,2.5,3.6
227,0.227,7.2,16.8,1.7,5.4
228,0.228,3.0,27.0,1.1,1.6
229,0.229,-2.5,45.4,-1.7,0.1
230,0.230,-6.0,52.8,-3.2,0.4
231,0.231,-5.3,59.5,-8.2,-5.0
232,0.232,-4.6,53.1,-18.2,-7.2
233,0.233,3.6,35.9,-5.5,-14.5
234,0.234,16.6,24.3,13.4,-13.7
235,0.235,25.2,9.7,-9.5,-2.3
236,0.236,29.9,4.0,-12.8,-7.2
237,0.237,25.8,-1.1,-10.2,-8.7
238,0.238,29.7,-5.8,-7.9,-10.2
239,0.239,12.1,-7.1,-1.3,-4.6
240,0.240,9.6,-8.4,-3.6,-5.9
241,0.241,-11.1,-4.9,-5.7,0.5
242,0.242,-20.9,-9.5,1.9,-3.4
243,0.243,-29.2,-10.4,0.0,-4.6
244,0.244,-36.8,-13.2,4.5,-2.5
245,0.245,-34.6,-14.0,2.8,2.2
246,0.246,-15.8,-13.1,-1.3,2.5
247,0.247,-8.3,-13.8,-0.4,1.5
248,0.248,-1.5,-23.5,-3.9,1.5
249,0.249,8.9,-22.1,-1.3,8.5
250,0.250,14.4,-25.8,-2.5,2.7
251,0.251,30.0,-19.8,-0.4,-8.6
252,0.252,32.1,-14.4,2.8,-2.2
253,0.253,26.5,-20.9,0.6,-6.7
254,0.254,21.5,-18.1,6.8,-10.9
255,0.255,16.9,-7.5,-1.5,4.4
256,0.256,18.4,-3.1,-2.9,6.0
257,0.257,4.2,1.0,5.5,-13.6
258,0.258,-9.0,7.1,4.1,-11.7
259,0.259,-7.2,12.6,-3.6,-0.9
260,0.260,-2.4,23.6,-1.0,-7.7
261,0.261,4.7,33.8,-0.4,-10.2
262,0.262,-1.8,32.8,-3.0,-5.6
263,0.263,-9.9,29.6,-5.3,-7.6
264,0.264,-13.0,28.9,-10.0,-9.3
265,0.265,-19.8,28.2,-5.9,-11.0
266,0.266,-18.9,24.1,-7.5,-17.1
267,0.267,-6.8,15.5,-14.9,-14.1
268,0.268,8.7,5.1,-7.5,-17.0
269,0.269,6.6,4.0,-6.5,-21.4
270,0.270,4.7,-2.4,-5.5,-17.3
271,0.271,3.0,-5.7,-9.3,-7.7
272,0.272,1.5,-8.7,-5.5,-11.3
273,0.273,-5.6,-13.4,-5.9,-12.0
274,0.274,-12.1,-14.2,-2.6,-10.4
275,0.275,-25.1,-14.9,0.5,-10.8
276,0.276,-33.7,-15.5,-0.6,-3.8
277,0.277,-22.9,-13.4,6.6,1.0
278,0.278,-1.7,-10.4,15.8,1.3
279,0.279,-17.1,-6.6,-1.3,4.3
280,0.280,-36.7,-8.0,1.8,-1.1
281,0.281,-34.4,-8.3,4.7,11.6
282,0.282,-23.1,-9.5,7.4,17.6
283,0.283,-8.6,-11.9,25.3,20.3
284,0.284,4.5,-15.0,42.1,38.6
285,0.285,-0.7,-12.2,40.8,46.9
286,0.286,0.7,-7.5,36.0,50.5
287,0.287,7.7,-1.6,28.2,57.6
288,0.288,19.3,-4.1,27.5,57.4
289,0.289,30.1,-7.9,35.5,51.1
290,0.290,34.2,-9.9,29.8,54.0
291,0.291,32.8,-11.8,20.1,54.3
292,0.292,38.5,-7.0,25.1,52.3
293,0.293,41.5,2.7,32.5,52.8
294,0.294,34.6,18.2,34.5,68.9
295,0.295,21.2,28.5,38.6,76.6
296,0.296,-3.6,18.9,44.2,79.9
297,0.297,-7.1,10.1,38.9,96.9
298,0.298,2.0,2.2,46.9,121.4
299,0.299,-0.9,0.7,40.9,119.7
300,0.300,-33.9,-3.3,47.9,118.2
301,0.301,-38.5,-4.6,44.5,121.9
302,0.302,-18.1,-12.2,37.2,120.8
303,0.303,-21.9,-13.3,40.9,98.7
304,0.304,-25.4,-12.5,26.9,72.0
305,0.305,-40.8,-16.7,17.0,46.9
306,0.306,-38.1,-26.3,4.2,24.1
307,0.307,-20.6,-38.1,2.8,9.4
308,0.308,0.1,-39.8,4.7,12.7
309,0.309,8.3,-38.5,-13.6,-4.5
310,0.310,15.7,-34.8,-41.3,-24.9
311,0.311,22.5,-26.7,-52.3,-66.5
312,0.312,20.3,-15.1,-55.7,-84.3
313,0.313,25.9,-7.4,-71.0,-100.7
314,0.314,24.2,5.3,-73.9,-125.5
315,0.315,19.5,10.4,-76.5,-139.2
316,0.316,15.3,14.9,-74.6,-135.4
317,0.317,11.4,24.6,-60.2,-154.4
318,0.318,8.0,44.0,-55.0,-158.3
319,0.319,2.8,63.3,-60.6,-149.8
320,0.320,1.9,60.7,-65.7,-147.8
321,0.321,-4.2,49.0,-73.3,-171.5
322,0.322,1.5,34.2,-70.0,-181.6
323,0.323,5.3,24.6,-71.7,-190.8
324,0.324,15.3,12.4,-67.1,-194.4
325,0.325,22.6,10.7,-76.5,-188.8
326,0.326,29.3,12.0,-73.8,-188.0
327,0.327,28.3,10.6,-60.7,-187.5
328,0.328,33.8,7.0,-48.3,-166.4
329,0.329,31.1,-2.7,-54.2,-140.1
330,0.330,18.0,-9.2,-53.6,-100.8
331,0.331,1.1,-12.7,-47.4,-86.0
332,0.332,-10.3,-11.7,-52.3,-62.9
333,0.333,-24.8,-8.9,-35.6,-51.1
334,0.334,-22.8,-2.7,-29.0,-32.4
335,0.335,-31.3,-3.5,-18.5,6.7
336,0.336,-20.2,-4.2,-9.1,21.3
337,0.337,-21.4,-0.9,-0.7,34.2
338,0.338,-22.6,2.1,3.4,54.8
339,0.339,-4.7,0.6,7.0,65.2
340,0.340,-7.1,6.1,15.8,67.0
341,0.341,-9.2,8.2,18.6,75.2
342,0.342,-15.3,5.0,6.9,70.2
343,0.343,-14.4,4.6,12.1,76.0
344,0.344,-1.0,1.7,23.9,76.8
345,0.345,4.2,0.2,24.6,82.5
346,0.346,9.0,-3.2,37.7,82.9
347,0.347,13.2,-1.9,49.9,95.7
348,0.348,22.3,-3.0,54.1,99.5
349,0.349,18.9,-1.2,57.8,102.9
350,0.350,15.8,-5.6,55.6,109.0
351,0.351,11.0,-9.7,58.5,114.4
352,0.352,1.3,-11.1,65.9,111.5
353,0.353,-13.0,-5.6,72.4,111.1
354,0.354,-14.8,-6.2,68.8,112.7
355,0.355,-6.2,-1.6,65.4,114.1
356,0.356,-14.0,-3.2,70.3,106.6
357,0.357,-9.8,-5.8,74.7,107.7
358,0.358,-0.8,-11.2,76.1,107.2
359,0.359,0.3,-16.1,69.0,98.8
360,0.360,-2.8,-10.1,72.9,94.9
361,0.361,2.0,-14.0,65.3,84.3
362,0.362,4.6,-13.2,58.2,77.0
363,0.363,-7.5,-3.2,57.1,63.4
364,0.364,-12.6,-4.4,52.8,64.5
365,0.365,-11.1,-5.6,41.8,53.2
366,0.366,-12.5,-11.4,34.0,43.0
367,0.367,-19.0,-6.0,24.1,31.2
368,0.368,-22.4,0.9,15.2,23.4
369,0.369,-17.1,8.9,7.2,19.3
370,0.370,-20.0,20.8,-8.5,7.9
371,0.371,-33.2,25.5,-5.9,-8.9
372,0.372,-58.0,15.7,-7.7,-10.7
373,0.373,-48.0,9.1,-12.8,-12.1
374,0.374,-26.7,0.9,-20.9,-20.8
375,0.375,-7.4,-4.5,-21.9,-38.9
376,0.376,5.1,-3.6,-28.4,-45.5
377,0.377,16.4,-6.4,-34.2,-37.5
378,0.378,22.4,-5.7,-34.7,-42.6
379,0.379,39.4,-5.0,-17.9,-39.4
380,0.380,55.2,-3.2,-14.9,-39.6
381,0.381,52.9,-3.9,-24.5,-36.6
382,0.382,43.2,-6.6,-29.3,-36.3
383,0.383,34.4,-6.2,-26.7,-41.2
384,0.384,20.0,-9.3,-24.3,-33.7
385,0.385,14.2,-3.3,-24.8,-37.3
386,0.386,2.0,9.9,-25.1,-36.5
387,0.387,0.4,11.7,-25.3,-33.9
388,0.388,-1.1,13.4,-23.3,-36.2
389,0.389,0.1,11.8,-25.3,-35.2
390,0.390,1.2,13.1,-25.2,-34.2
391,0.391,-2.0,14.4,-28.3,-29.5
392,0.392,-1.1,3.8,-16.5,-35.0
393,0.393,-5.6,-3.3,-14.1,-34.4
394,0.394,-8.1,3.2,-17.4,-30.2
395,0.395,-1.6,2.0,-12.7,-24.8
396,0.396,1.1,-1.1,-10.8,-25.6
397,0.397,1.8,-6.0,-17.4,-23.6
398,0.398,-0.4,-12.2,-17.6,-25.3
399,0.399,-1.0,-14.6,-7.2,-31.2
400,0.400,-6.4,-18.3,-5.2,-23.3
401,0.401,-4.2,-9.7,-8.1,-17.8
402,0.402,4.4,-13.2,-10.6,-11.2
