Right Biceps brachii caput longus,Left Biceps brachii caput longus,Right Pectoralis Major,Left Pectoralis Major,
-128.9,92.9,12.3,-29.7,
-72.9,57.2,10.0,-17.7,
12.4,78.6,-10.6,-21.6,
58.9,98.0,-7.7,-25.1,
72.8,152.8,-20.2,2.3,
8.1,159.9,-17.9,5.7,
-167.8,108.4,-24.0,-11.5,
-444.0,61.6,-22.0,34.3,
-334.2,-29.0,0.6,53.7,
-101.1,-222.4,34.6,47.5,
-10.7,-415.9,-5.8,63.5,
71.1,-341.3,-21.9,28.6,
95.3,-227.7,-36.4,23.7,
208.4,-83.0,-22.6,-5.3,
269.7,-27.0,6.5,-9.3,
174.6,-78.6,3.3,20.7,
156.6,-63.2,-19.8,24.4,
171.6,-20.9,-28.5,27.7,
156.8,-8.0,-53.3,17.3,
169.1,73.9,-36.1,7.7,
133.5,212.3,-32.7,10.1,
164.9,231.3,-18.6,7.3,
116.2,248.7,4.4,9.2,
54.6,295.7,-10.7,23.3,
68.6,266.4,-44.5,9.7,
28.8,252.7,-24.8,-11.6,
-21.9,214.8,13.4,-9.4,
-28.1,180.7,30.1,2.8,
-21.8,234.9,15.6,-9.1,
-26.9,168.4,20.4,-19.9,
-31.4,90.2,49.4,-18.3,
-8.5,101.7,31.1,7.4,
-61.5,73.8,0.9,18.3,
-170.1,-21.8,-27.6,8.0,
-310.1,-33.6,-53.3,23.2,
-517.1,2.5,-56.6,31.5,
-710.3,-7.2,-59.6,23.9,
-685.5,-73.8,-56.9,12.4,
-480.6,-116.9,-29.0,18.7,
-287.9,-203.7,11.9,47.2,
-112.7,-214.4,50.1,43.2,
-44.3,-203.1,45.2,-5.1,
17.7,-192.8,31.6,-11.4,
149.1,-183.3,35.6,-53.1,
234.2,-110.7,17.0,-58.2,
374.1,-61.7,20.3,-43.0,
543.3,-34.7,17.1,-29.1,
565.9,-26.1,8.7,-24.6,
586.9,-3.8,11.0,-13.1,
568.8,-89.0,-5.2,-15.9,
381.3,-123.4,5.2,-12.3,
256.6,-154.8,18.4,7.7,
189.4,-144.9,27.0,25.9,
171.0,-153.3,37.9,56.5,
79.6,-129.0,25.0,69.5,
-3.1,-77.7,5.9,44.2,
-140.5,-4.5,-16.9,27.9,
-156.7,44.3,-7.8,13.2,
-69.0,71.1,11.7,11.1,
73.3,63.6,4.1,24.5,
19.0,70.9,-2.7,18.4,
-64.7,117.0,-34.2,17.1,
-16.7,110.9,-75.0,4.5,
26.4,116.3,-69.7,24.2,
-63.5,101.3,-74.7,7.1,
-169.3,42.5,-61.3,-8.3,
-184.4,18.3,-32.7,-14.0,
-146.8,10.9,-14.2,-7.8,
-135.9,30.5,9.3,-29.7,
-168.4,12.4,55.3,-50.6,
-140.1,17.6,101.5,-19.4,
-132.2,22.2,47.7,-6.6,
-141.3,-18.8,11.6,5.0,
-120.7,-57.4,18.3,8.9,
-88.7,-132.2,12.6,-12.1,
-59.7,-185.8,7.3,-25.6,
21.6,-176.7,2.6,-17.7,
56.1,-115.8,-19.6,-15.2,
2.2,-28.7,-15.2,-8.6,
30.4,5.5,-3.9,-13.9,
56.0,15.3,6.4,12.2,
31.3,-14.7,9.6,23.5,
37.8,-7.0,18.0,13.6,
70.1,-32.1,30.6,16.8,
111.3,2.9,51.4,42.1,
116.1,100.6,48.6,65.8,
60.9,113.5,10.7,62.9,
-5.2,99.5,-5.6,65.7,
-119.9,156.8,9.3,32.8,
-166.7,230.3,13.9,10.4,
-39.3,181.0,26.3,-2.0,
217.8,101.1,0.6,-13.2,
255.0,68.6,17.6,-64.1,
222.3,58.5,26.9,-71.6,
192.6,14.1,24.2,-78.6,
55.5,6.0,21.8,-85.1,
-219.8,-1.3,10.4,-69.2,
-403.3,-34.3,-21.0,-94.4,
-370.0,-28.3,-61.5,-99.4,
-218.5,-11.8,-88.8,-71.3,
-467.4,-6.9,-93.7,-45.9,
-969.1,-2.3,-80.2,-49.9,
-1041.8,-63.7,-35.1,-29.0,
-847.8,-142.8,-5.1,-4.5,
-671.6,-238.5,0.3,25.4,
-404.1,-251.0,-44.3,20.7,
-161.1,-192.0,-50.3,-5.7,
59.5,-180.6,-1.2,-23.1,
260.2,-92.8,44.8,-57.5,
442.8,13.3,74.6,-35.5,
742.3,141.4,79.8,0.8,
943.3,193.4,74.7,15.1,
1199.4,240.8,42.9,28.2,
1295.1,283.7,22.1,23.9,
1203.3,194.2,-4.1,34.7,
844.1,66.0,-1.0,24.3,
501.4,15.0,7.8,21.0,
278.6,30.8,-6.4,28.9,
76.3,73.4,-44.7,21.0,
186.1,86.5,-83.2,9.2,
219.3,98.3,-88.3,6.8,
67.7,2.7,-57.1,12.1,
-69.5,15.6,-53.3,23.9,
-194.1,-89.4,-57.3,28.2,
-444.2,-131.7,-47.6,49.2,
-461.1,-121.5,-45.1,50.9,
-293.6,-57.1,-30.2,35.3,
-262.5,-22.1,-5.5,26.8,
-234.3,-53.9,10.9,29.0,
-208.6,-5.3,38.1,30.9,
-185.1,39.1,71.0,24.4,
-205.2,63.5,74.9,18.4,
-223.5,100.2,53.9,6.1,
-274.3,54.8,34.9,10.5,
-195.9,61.7,24.3,-2.6,
-181.3,46.4,8.6,-4.5,
-219.4,-7.1,0.0,-12.4,
-184.0,-86.3,-7.8,-13.9,
-130.4,-53.8,-1.1,5.5,
-101.0,-101.7,-7.5,47.1,
-214.6,-127.8,-20.9,64.9,
-260.7,-104.1,1.5,48.5,
-189.1,-83.0,4.4,92.9,
-175.5,-116.8,7.0,122.8,
0.8,-111.8,9.4,73.6,
227.2,-118.3,-2.2,53.8,
136.8,-74.9,4.0,47.7,
164.9,-58.1,9.5,31.3,
340.9,-10.0,-6.2,26.3,
318.7,-17.5,-37.8,30.6,
174.6,35.6,-33.5,10.0,
119.1,114.8,-13.1,-8.6,
68.7,124.7,5.3,-25.7,
85.5,-20.7,1.9,-53.6,
101.1,-166.3,-7.2,-87.1,
115.5,-185.7,6.8,-82.7,
35.4,-135.0,39.7,-78.7,
5.3,-88.8,44.3,-104.8,
-2.6,-46.9,48.5,-101.8,
25.6,17.1,59.8,-92.9,
-12.4,75.3,49.9,-135.0,
-3.3,107.1,28.8,-189.2,
17.9,97.4,20.8,-153.2,
-22.8,123.6,44.0,-120.4,
-27.8,115.6,47.4,-66.6,
-3.5,122.5,33.9,-1.4,
-62.9,115.5,21.6,-10.3,
-40.3,85.1,15.1,-18.4,
-63.6,112.0,0.8,3.4,
-164.3,106.9,-0.8,10.2,
-378.3,66.2,1.2,16.4,
-289.0,17.1,-12.7,54.9,
-152.8,23.6,-10.6,79.9,
-79.4,5.7,-5.3,48.8,
32.9,-10.7,-6.6,12.3,
93.2,63.6,6.5,7.6,
110.4,31.9,22.3,66.4,
126.2,-74.1,41.3,90.5,
78.3,-116.3,79.5,68.8,
119.6,-103.1,63.3,115.1,
208.5,-114.4,29.0,73.2,
172.4,-273.4,-11.3,35.0,
139.5,-386.7,-27.5,20.3,
128.9,-323.7,-42.2,6.8,
136.8,-153.5,-91.7,10.9,
80.3,-39.0,-138.0,-15.1,
-0.2,23.5,-168.0,-25.3,
-96.6,118.0,-119.0,2.3,
-110.3,238.1,-99.4,-38.6,
-52.3,378.7,-93.5,-66.0,
0.6,435.6,-66.2,-41.2,
-48.0,453.1,-41.5,-36.8,
-109.8,406.8,-19.0,-8.1,
-85.9,336.7,9.8,10.4,
-93.0,298.7,21.0,40.8,
-178.5,217.7,31.3,44.9,
-166.5,80.2,28.4,70.8,
-134.5,-12.9,36.7,80.8,
-124.7,-97.4,44.4,77.7,
-221.3,-142.9,51.2,102.8,
-285.6,-184.2,57.4,119.7,
-320.7,-221.8,32.7,85.8,
-161.3,-209.4,22.6,45.3,
43.7,-155.6,19.5,17.9,
126.3,-106.9,38.9,32.6,
151.4,-80.3,11.0,55.0,
220.2,-72.0,-7.7,83.6,
117.1,-78.9,-11.1,42.7,
61.0,-98.3,-8.2,15.4,
44.5,-80.3,-38.9,40.2,
154.3,-74.8,-75.9,26.7,
226.0,-60.0,-90.9,-34.7,
420.0,-46.3,-95.6,-61.2,
558.9,-25.4,-75.2,-69.2,
384.3,-28.6,-19.6,-61.9,
179.7,-4.5,20.3,-94.9,
152.8,-25.6,27.4,-184.6,
78.2,-67.1,7.6,-248.8,
55.8,-121.0,25.4,-237.0,
35.2,-142.8,41.7,-226.3,
-58.8,-123.3,56.5,-177.9,
-144.3,-117.7,97.0,-151.5,
-128.7,-79.9,91.4,-111.6,
-114.6,-75.7,66.7,-46.2,
-127.3,-53.9,62.2,-2.3,
-115.4,-9.6,66.4,5.7,
-108.9,46.6,55.8,49.8,
-76.8,-20.0,52.2,57.2,
-28.4,-12.1,28.7,64.0,
50.8,11.0,13.5,82.1,
61.5,-98.6,27.5,76.9,
13.3,-114.7,45.1,72.2,
-65.8,-44.5,51.8,76.8,
-76.7,147.7,70.6,81.0,
-67.4,174.8,68.1,77.2,
63.9,199.7,47.3,80.5,
157.7,85.6,5.3,65.0,
-30.9,106.3,-36.6,50.9,
-106.1,49.9,-53.0,32.9,
-83.2,101.2,-87.6,39.3,
-103.7,85.6,-83.0,36.8,
-160.0,43.3,-127.9,26.8,
-177.0,4.8,-121.8,0.5,
-130.3,-53.9,-105.2,-10.9,
-31.3,-43.6,-80.3,5.8,
-18.5,-130.9,-57.6,-15.7,
16.4,-166.4,-53.3,-24.0,
90.8,-156.4,2.7,-31.6,
81.0,-50.8,26.9,-33.8,
-33.6,104.2,5.4,-10.6,
-18.4,165.7,12.2,-19.5,
23.5,184.0,18.4,-5.4,
-41.2,166.4,24.0,22.6,
-169.9,150.5,19.1,11.8,
-289.8,107.9,50.6,2.0,
-305.4,95.0,46.5,17.7,
-178.2,153.5,27.9,20.8,
-263.9,228.0,17.8,-1.6,
-248.6,218.5,26.9,26.3,
-291.4,139.7,46.3,60.0,
-304.6,1.7,18.3,82.7,
-176.2,-167.5,-15.3,70.7,
46.1,-235.5,-55.9,59.8,
197.6,-255.7,-61.5,43.0,
169.9,-198.7,-56.8,3.2,
194.6,-112.5,-43.4,8.8,
353.6,-33.9,-14.7,-15.7,
415.2,37.4,-18.5,-11.1,
282.8,76.5,-35.4,1.3,
265.2,65.2,-32.5,12.6,
311.5,97.3,-1.9,43.3,
410.0,146.0,10.2,31.3,
319.7,155.1,-45.6,-9.1,
191.0,67.7,-53.6,-57.8,
105.2,33.2,-46.6,-90.3,
120.7,23.2,-40.2,-107.6,
134.7,52.8,-10.6,-134.3,
44.6,-7.8,27.4,-138.6,
9.6,-79.0,51.9,-124.5,
41.5,-145.9,83.2,-103.4,
12.7,-136.5,70.8,-47.1,
74.3,-96.2,29.7,-22.7,
82.2,-103.0,24.2,28.5,
74.8,-135.7,58.7,61.9,
-24.3,-93.6,63.1,92.2,
-236.7,-98.9,34.2,130.8,
-327.8,-54.4,45.1,145.8,
-410.4,-0.7,41.4,168.5,
-335.5,-8.4,13.3,189.1,
-221.7,-107.9,1.9,155.7,
-159.7,-94.2,-8.7,88.3,
-103.2,21.0,0.1,20.7,
-86.1,-26.3,-3.0,-5.7,
-39.3,-69.4,-26.1,-93.6,
-24.9,-57.3,-23.1,-82.1,
14.1,-23.1,-37.0,-92.9,
73.1,7.9,-64.7,-122.0,
148.1,-2.5,-53.3,-148.6,
177.6,5.7,-36.1,-156.9,
116.9,-18.8,-26.6,-120.9,
93.8,2.5,15.6,-127.7,
58.4,8.6,45.8,-157.9,
65.8,14.1,29.7,-152.7,
60.7,8.1,44.8,-128.3,
56.0,12.4,31.7,-70.1,
51.6,7.2,3.3,-30.5,
11.5,2.4,-0.1,20.0,
-15.3,-24.3,3.5,39.4,
-59.4,-21.7,12.8,44.8,
-53.3,-1.2,15.7,49.9,
-14.9,-10.5,23.5,74.2,
-19.6,-14.1,30.5,87.3,
-86.8,-8.5,24.5,82.8,
-153.8,-41.1,26.5,86.1,
-74.1,-82.7,11.0,89.0,
-84.2,-1.7,4.9,67.1,
-151.3,56.0,3.2,58.6,
-142.1,151.1,8.4,60.8,
-133.9,163.5,13.1,53.7,
-126.7,104.6,9.1,63.9,
-186.3,114.9,-10.4,54.1,
-162.5,66.3,-40.9,41.8,
-82.7,22.1,-28.5,27.4,
-8.6,-49.8,27.3,-1.4,
39.1,-98.1,35.4,-22.3,
47.2,-124.5,-29.7,-41.2,
70.5,-84.7,-38.3,-51.7,
93.9,-25.0,-46.4,-31.9,
100.5,-17.9,-86.1,-23.0,
106.3,-11.4,-64.3,-25.9,
183.6,54.4,-57.7,-23.5,
193.6,115.9,-63.7,-2.7,
164.2,156.0,-25.5,-5.4,
155.0,177.9,9.0,-33.0,
162.6,184.7,40.4,-6.8,
140.5,202.9,60.7,3.7,
159.8,186.9,79.1,7.0,
129.4,142.9,68.9,10.0,
47.2,89.6,96.5,7.7,
-11.4,24.9,92.7,28.6,
-43.3,-0.9,48.6,42.5,
-33.7,7.7,-5.5,35.0,
-77.5,15.8,-56.4,23.5,
-101.4,10.0,-102.8,29.8,
-137.7,-31.0,-133.1,35.5,
-104.7,-112.0,-138.9,54.6,
-98.8,-146.0,-124.5,42.2,
-180.7,-113.1,-102.4,17.0,
-262.4,-83.2,-57.6,0.3,
-187.9,-90.9,-16.0,-8.7,
-139.7,-82.0,-10.7,16.6,
-166.1,-88.3,-25.6,20.2,
-62.4,-80.8,5.7,5.0,
36.4,-50.2,17.9,-19.9,
100.6,-22.3,36.3,-29.8,
135.4,-16.7,39.5,16.6,
145.9,-2.5,54.7,49.9,
252.0,51.5,46.3,20.4,
266.1,74.0,28.5,15.4,
227.4,55.1,16.9,-18.7,
168.9,38.1,-2.0,-31.8,
73.3,11.7,10.6,-11.0,
34.8,-2.4,31.3,-14.3,
23.2,-24.2,45.2,-64.6,
12.8,-36.0,73.1,-100.7,
-16.0,-46.8,76.8,-107.1,
28.0,-43.1,53.3,-112.9,
67.8,-52.0,50.2,-63.8,
31.5,-54.4,42.0,8.7,
-41.0,-36.5,29.4,-1.0,
-69.7,-70.9,13.2,7.6,
-78.2,-145.2,-18.2,31.3,
-53.8,-113.4,-58.8,52.8,
-46.1,-103.9,-53.4,32.8,
-52.3,-95.4,-18.7,38.5,
-57.7,-7.8,4.0,32.8,
-73.6,26.9,24.6,7.7,
-68.3,37.3,43.3,-6.1,
-54.4,46.8,53.6,-26.9,
-58.0,20.3,63.0,-30.9,
-105.8,12.3,43.8,-41.3,
-151.4,48.7,11.1,-87.7,
-133.1,68.5,6.9,-94.5,
-138.1,50.6,27.7,-64.8,
-142.7,23.3,-20.2,-16.0,
-111.0,-1.4,-39.7,3.4,
-90.4,11.9,-57.3,-2.9,
-34.7,-0.7,-62.5,24.0,
5.2,24.7,-37.5,58.2,
56.1,-6.3,-32.9,44.2,
89.0,-11.0,-12.4,-9.4,
106.9,-15.5,13.6,-31.6,
167.0,-39.9,50.6,-38.6,
159.4,-19.3,85.1,-45.0,
152.2,-33.9,62.6,-29.0,
118.9,-42.1,25.7,-4.5,
88.9,-49.5,1.0,26.8,
83.5,-18.7,-12.4,47.2,
39.0,12.2,-32.8,43.4,
44.8,56.9,-51.1,60.0,
61.1,74.5,-34.0,62.8,
56.2,145.2,-30.6,70.8,
33.6,154.7,-38.6,67.9,
21.4,93.1,-35.8,42.4,
-4.2,37.2,-19.5,11.8,
-27.4,1.1,-4.8,-8.9,
-67.0,-58.2,-33.2,-34.9,
-50.3,-114.0,-45.5,-24.8,
-25.3,-121.0,-56.7,-21.7,
-47.4,-87.7,-60.2,-13.3,
-51.2,-9.5,-38.9,-10.6,
-54.6,43.8,-30.8,-17.2,
-104.9,92.1,-58.8,-2.3,
-24.6,136.0,-40.4,26.6,
71.5,144.0,-30.4,39.3,
110.3,122.2,9.4,58.3,
98.9,49.6,25.6,41.9,
67.2,78.7,40.2,45.5,
-19.6,87.5,62.4,71.3,
-77.9,47.7,58.1,68.6,
-109.7,26.1,54.1,29.2,
-42.3,19.6,9.9,13.5,
18.9,13.6,-8.3,-20.4,
-5.1,-13.6,-35.9,-15.3,
-12.6,-38.2,-31.2,13.9,
6.8,-24.6,-45.0,10.7,
24.4,-61.3,-41.2,-5.7,
-46.9,-85.7,-30.5,3.9,
-85.8,-107.1,-12.8,-7.2,
-76.7,-174.4,-9.8,-9.6,
-51.0,-126.0,-13.3,-27.0,
-27.9,-99.7,-33.1,-24.5,
-36.0,-107.6,4.5,7.1,
-3.7,-85.8,64.4,29.8,
73.6,-13.3,24.3,26.0,
104.9,34.9,60.5,29.9,
36.8,61.2,80.2,53.8,
-60.2,53.1,86.0,57.1,
-22.0,74.7,102.2,26.9,
-10.7,133.8,87.3,6.8,
-106.7,125.4,82.9,11.0,
-171.4,59.6,46.1,1.3,
3.7,32.6,31.4,-26.1,
178.8,-8.0,-8.9,-81.5,
64.5,-59.5,-57.8,-153.1,
2.0,-66.8,-37.9,-162.5,
20.4,-61.4,-43.7,-83.2,
71.3,-67.5,-59.9,-8.5,
117.5,-73.0,-54.8,20.8,
102.8,-95.9,-77.1,29.8,
115.0,-84.1,-64.5,69.8,
55.9,-73.5,-53.2,19.1,
-61.6,-117.8,-9.0,-0.6,
-77.6,-136.1,57.1,-18.6,
-91.9,-76.6,83.6,-13.4,
-27.5,-5.3,91.7,-48.4,
-39.1,-34.8,84.7,-89.2,
-92.1,-44.0,78.2,-94.9,
-140.1,-52.6,36.4,-90.2,
-130.9,12.2,-1.7,-85.9,
-250.4,73.2,23.1,-114.7,
-267.3,80.8,9.8,-96.3,
-189.1,73.3,-35.0,-93.2,
-89.8,79.5,-4.7,-71.9,
-25.3,61.2,1.4,-63.8,
10.0,0.9,-12.8,-41.3,
63.3,8.7,-25.6,-1.8,
34.6,30.3,-20.9,14.2,
43.6,63.3,-16.8,38.6,
163.5,45.4,-13.0,42.8,
214.8,50.8,-40.3,46.8,
136.9,55.7,-51.0,65.2,
179.3,33.1,-33.9,102.1,
217.9,37.1,12.4,116.6,
159.5,26.0,45.7,111.8,
127.6,-4.4,51.8,115.7,
214.5,-33.1,57.5,104.3,
249.5,0.4,92.4,134.4,
196.2,41.0,79.1,129.8,
225.0,68.5,34.3,80.9,
198.7,54.0,-55.4,60.5,
79.2,14.0,-93.8,77.8,
28.3,63.8,-105.5,60.7,
13.2,18.4,-137.4,55.0,
-28.8,-34.7,-89.2,40.8,
-92.5,-26.6,-27.9,-5.0,
-103.5,33.7,-20.1,-71.5,
-92.1,106.4,-13.1,-98.4,
-81.5,136.0,-46.3,-122.8,
-71.9,128.0,-52.6,-101.5,
-79.1,152.6,-58.6,-69.0,
-85.6,175.0,-64.0,-39.4,
-91.7,116.1,-32.9,-23.2,
-109.0,44.7,-4.6,-28.3,
-113.9,-3.1,13.6,-32.9,
-98.5,-11.4,-3.6,-37.1,
-48.4,-34.8,-31.5,-70.6,
-1.9,-70.6,-42.8,-29.9,
16.3,-76.7,-32.8,19.6,
22.0,-82.1,-23.7,26.5,
-32.4,-87.0,18.0,32.8,
-141.6,-51.9,83.7,71.3,
-250.9,-64.8,92.3,116.1,
-350.2,-76.5,116.1,98.4,
-260.5,-94.5,94.2,27.7,
-202.5,-97.2,100.6,-1.0,
-234.8,-50.5,94.5,-62.4,
-206.3,-30.2,77.8,-54.3,
-75.0,-47.5,72.4,-61.4,
-19.2,-63.1,49.4,-54.8,
-2.7,-17.7,-4.5,-36.8,
43.3,37.2,-85.1,-42.3,
113.5,45.1,-202.8,-37.4,
177.4,-27.0,-188.3,29.9,
212.3,-132.8,-146.8,97.1,
180.5,-118.2,-57.8,52.7,
93.9,-130.5,23.0,-3.7,
82.5,-118.5,32.5,-84.1,
157.0,-86.3,21.8,-159.1,
166.5,-37.8,29.7,-92.2,
192.8,-11.5,37.0,-66.5,
168.8,44.2,29.1,-59.1,
103.2,36.7,8.8,-52.4,
146.8,16.5,14.4,-19.9,
154.2,57.7,-13.0,9.6,
146.4,62.4,-18.1,47.3,
126.1,27.0,-13.8,91.5,
35.6,-14.1,-1.6,157.1,
-29.3,-52.9,17.0,165.6,
-134.8,-108.4,56.8,162.1,
-170.4,-123.5,87.5,154.1,
-139.2,-137.4,108.2,161.2,
-130.3,-76.4,75.1,141.5,
-122.3,2.3,79.9,75.6,
-178.9,12.4,76.2,14.3,
-288.6,60.2,58.2,-41.4,
-336.1,103.4,55.4,-63.0,
-209.3,142.7,83.7,-82.6,
-124.0,134.7,102.9,-88.3,
-46.3,127.3,52.8,-126.1,
24.3,132.4,-55.6,-199.8,
114.1,115.2,-101.7,-188.5,
125.4,89.6,-143.5,-139.3,
8.2,39.2,-130.1,-164.6,
23.4,31.8,-140.9,-155.6,
93.8,25.1,-150.6,-147.2,
132.1,-3.0,-159.2,-152.7,
167.1,1.3,-166.8,-97.7,
220.5,5.3,-109.7,-45.7,
269.0,9.1,-28.4,-11.5,
207.7,-2.3,4.9,19.8,
136.1,-5.8,16.0,26.7,
88.1,-33.7,43.7,53.2,
97.1,-44.9,37.1,68.6,
105.2,-14.7,60.2,82.9,
83.9,21.9,94.3,96.0,
91.0,-32.8,149.4,121.6,
73.7,-141.8,157.8,132.7,
68.9,-188.6,191.8,148.6,
25.1,-174.5,187.0,183.4,
-15.9,-7.3,204.3,198.7,
-96.9,61.1,259.7,245.7,
-177.9,40.5,224.3,313.4,
-251.6,-15.8,192.0,341.6,
-318.2,-101.2,162.8,335.5,
-255.8,-54.4,179.9,286.5,
-135.2,-11.9,116.3,281.4,
-14.6,52.5,-14.7,204.8,
1.7,134.5,-108.2,131.5,
-11.8,187.9,-90.6,84.2,
1.7,178.6,-137.0,23.6,
37.2,222.8,-207.6,-31.5,
112.2,279.1,-246.1,-52.7,
83.7,243.2,-187.8,-45.6,
40.2,144.5,-113.6,-111.1,
16.9,-10.8,-104.2,-190.0,
24.7,-31.0,-165.9,-221.7,
18.7,-162.2,-205.8,-231.3,
-10.6,-178.9,-242.0,-257.8,
-26.3,-131.9,-195.8,-234.3,
-50.4,-145.8,-153.8,-213.0,
-36.1,-107.1,-115.7,-220.3,
-39.4,-118.5,-91.2,-203.1,
-12.7,-86.5,-78.2,-176.5,
-8.6,19.8,-25.6,-132.8,
-54.2,62.2,24.4,-103.7,
-139.7,100.8,30.1,-132.1,
-174.5,135.9,95.1,-128.3,
-99.7,82.9,67.7,-125.1,
6.7,34.9,90.6,-155.1,
134.6,61.4,111.3,-175.1,
118.5,5.6,90.3,-180.1,
135.2,-88.7,35.2,-135.6,
178.6,-101.4,-45.9,-64.7,
166.5,-89.7,-79.1,-18.2,
38.5,-164.1,-148.2,6.1,
-80.6,-173.7,-193.9,44.0,
-33.4,-200.2,-203.7,5.5,
-18.8,-192.4,-183.9,9.9,
-5.7,-141.6,-86.9,-82.3,
-17.4,-95.5,10.2,-200.3,
-7.3,-29.7,-30.0,-218.1,
1.3,31.8,26.9,-234.5,
-8.6,71.5,121.4,-198.2,
-1.8,78.8,82.1,-188.8,
4.1,85.3,22.9,-116.7,
22.4,55.1,54.2,-32.1,
2.9,38.3,24.7,23.8,
-4.2,42.6,32.8,53.2,
18.8,82.4,23.9,60.4,
57.7,32.6,30.0,66.7,
61.6,-0.7,61.8,88.4,
5.5,5.0,78.6,79.0,
-46.9,21.1,61.0,136.3,
-42.0,35.6,64.8,190.2,
-85.4,12.9,77.3,224.6,
-81.3,33.3,113.2,255.6,
-8.3,44.3,146.9,259.7,
22.5,20.7,177.6,274.2,
-7.5,36.0,205.6,277.2,
-17.3,27.9,223.6,316.0,
-10.5,-5.0,213.0,243.3,
-33.2,35.6,172.5,212.7,
-133.2,8.4,90.1,237.6,
-148.3,-65.8,-39.0,196.3,
-136.4,-140.4,-159.2,173.2,
-195.7,-34.4,-206.4,178.3,
-228.2,36.3,-221.1,170.8,
-238.4,49.1,-157.5,109.4,
-194.8,37.5,-99.6,68.2,
-155.2,70.2,-36.0,-31.4,
-99.5,123.7,-4.4,-97.6,
9.2,152.9,82.3,-159.7,
149.1,161.9,117.3,-215.9,
205.2,122.2,85.8,-165.1,
222.0,71.6,57.5,-132.0,
237.3,-0.8,49.8,-89.7,
279.3,-106.9,27.2,-83.8,
86.0,-64.6,-7.5,-78.3,
-162.5,-52.0,-52.1,-63.9,
-262.7,-87.5,-80.5,-42.3,
-171.6,-98.4,-40.6,-15.1,
-88.8,-108.2,25.7,37.1,
-13.5,-117.1,159.3,118.6,
9.6,-45.1,255.1,131.1,
30.5,3.5,273.8,104.3,
49.4,-4.8,290.8,115.3,
100.7,-44.3,249.7,125.6,
241.0,-7.6,161.1,62.6,
410.7,-40.2,33.9,38.6,
479.3,-9.8,-84.4,-30.8,
417.5,-14.7,-285.3,-57.4,
323.6,-58.8,-476.9,-46.3,
306.8,7.7,-450.6,-67.8,
260.3,105.2,-426.6,-29.2,
218.3,170.2,-321.9,6.1,
180.4,205.8,-189.1,2.4,
146.0,259.7,0.2,-11.6,
8.5,173.5,76.1,-83.6,
-84.8,69.0,145.1,-155.9,
-100.9,27.3,83.4,-144.4,
-115.3,-36.6,64.8,-186.7,
-128.3,-71.1,47.7,-225.2,
-140.0,-81.3,-61.4,-216.6,
-150.6,-129.1,-75.7,-182.3,
-160.0,-102.5,-114.4,-163.0,
-149.2,-78.3,-149.4,-156.1,
-104.1,-70.8,-159.8,-129.9,
-79.1,-90.5,-130.7,-106.2,
-85.3,-72.9,-51.1,-51.8,
-104.2,-89.6,2.6,-28.9,
-85.4,-75.2,90.2,-34.4,
-79.0,-80.1,172.6,8.6,
-122.7,-51.8,205.0,91.5,
-176.0,-70.5,273.2,244.4,
-211.7,-108.0,335.1,307.2,
-257.2,-113.2,391.1,326.6,
-310.6,-127.0,325.8,310.1,
-317.3,-172.3,246.7,295.1,
-230.9,-118.6,193.3,168.1,
-101.7,-38.9,164.1,117.3,
18.7,35.4,31.9,39.8,
66.2,122.3,-100.4,-2.3,
81.3,180.7,-255.0,-40.6,
43.7,191.2,-359.1,-28.9,
126.2,258.5,-491.6,-18.2,
158.8,284.5,-475.2,-66.5,
169.3,308.0,-367.1,-128.1,
144.0,314.9,-269.1,-152.0,
57.3,215.7,-334.5,-202.8,
46.7,3.3,-324.3,-183.1,
36.8,-27.3,-251.4,-165.1,
-10.8,-165.5,-146.8,-192.3,
15.9,-241.0,-21.0,-187.2,
40.0,-264.2,63.1,-146.6,
32.8,-202.5,139.8,-184.9,
52.3,-109.1,124.6,-150.5,
81.9,-58.7,111.0,-83.6,
65.1,-13.0,145.6,-93.8,
49.9,0.1,134.6,-50.7,
62.5,37.5,163.1,-27.7,
82.0,-22.0,241.8,7.7,
92.1,-118.8,251.9,105.7,
40.4,-55.5,222.4,147.3,
-55.2,-21.3,160.5,159.5,
-69.2,-117.0,152.2,147.3,
-82.0,-155.5,188.3,200.0,
-136.4,-120.5,208.0,247.9,
-166.6,-3.4,238.0,256.4,
-159.4,43.2,265.5,343.8,
-137.0,28.8,270.6,378.4,
-145.6,15.6,275.2,261.0,
-74.4,26.8,213.9,182.7,
-65.9,58.4,82.1,83.3,
-93.3,67.8,-87.5,-58.6,
-6.2,59.0,-201.5,-153.0,
75.0,178.8,-263.7,-67.8,
148.9,298.8,-395.7,-83.8,
158.0,252.3,-447.4,-126.6,
113.8,210.2,-432.4,-165.6,
105.7,120.6,-390.5,-224.6,
113.0,62.6,-378.2,-257.1,
133.1,-32.6,-437.0,-190.4,
115.4,-70.8,-320.3,-129.6,
120.8,-35.5,-118.0,-106.3,
135.3,-3.5,-35.3,-114.0,
103.4,-13.3,90.3,-134.3,
49.7,-39.8,204.8,-153.0,
42.2,-63.6,267.7,-159.5,
22.2,-143.3,287.4,-116.0,
-55.8,-153.6,271.1,-87.2,
-91.3,-127.3,235.0,-69.2,
-80.4,-97.8,220.2,-10.1,
-12.4,-70.8,206.7,76.8,
-55.9,-62.2,194.4,181.2,
